Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),ZONE ONE PEOPLE:People Total Heating Rate [W](Hourly),SPACE1-1 LIGHTS 1:Lights Total Heating Rate [W](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE ONE:Zone Air Relative Humidity [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Fanger Model PPD [%](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect [C](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PMV [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Elevated Air Speed Cooling Effect Adjusted PPD [](Hourly),ZONE ONE PEOPLE:Zone Thermal Comfort ASHRAE 55 Ankle Draft PPD [](Hourly),ZONE ONE:Zone Heat Index [C](Hourly),ZONE ONE:Zone Humidity Index [](Hourly) 
 01/31  13:00:00,23.225,0.011604594142907819,59.375,92364.5,750.0245425188375,844.8,31.62769387440091,0.03144513658658265,95.39933415060682,2.7898167772768443,97.71050228699758,39.42085815382251,0.49285888671875,2.679988307800779,96.47235898612178,-1.0,49.88528065921132,51.38377590628225 
 01/31  14:00:00,23.9375,0.011131030224391877,54.625,92341.375,1425.0466307857912,950.4000000000001,31.940054817664684,0.03254976586544755,96.82447543460403,2.9009741719066033,98.56582949424327,39.92103753723374,0.47607421875,2.7934524337470217,97.71981289075458,-1.0,52.14633492695072,52.55823570267631 
 01/31  15:00:00,25.125,0.010970653806262828,50.125,92323.0,1425.0466307857912,1056.0,32.43294587015008,0.03405096364884741,98.2646587742501,3.058273934375456,99.32872875655404,40.589513447115664,0.45166015625,2.9541249264074536,98.87823360259398,-1.0,55.48976791935427,54.22348367075038 
 01/31  16:00:00,25.625000000000004,0.011197296705269129,49.625,92303.625,1425.0466307857912,1320.0,32.80421972268862,0.035412199010902465,99.85530042610398,3.1758534304417196,99.64802957107963,41.1306308475892,0.4302978515625,3.074818582758976,99.38988040305043,-1.0,58.470418997735244,55.65380956269745 
 01/31  17:00:00,25.2625,0.01062390068826544,48.125,92273.875,1425.0466307857912,1584.0,33.02678955445928,0.03594985707834583,100.0,3.2296162494305696,99.74501047728482,41.350770070026726,0.41961669921875,3.130975644968883,99.55249855270637,-1.0,59.81517252392478,56.28675562498289 
 01/31  18:00:00,24.125,0.0101987346352868,49.5,92256.125,1050.0343595263726,1584.0,32.952315363763915,0.03579884832880131,100.0,3.197574865758459,99.6886567733538,41.25284160246258,0.421142578125,3.098686795100915,99.46138830351758,-1.0,59.393777625266296,56.08874027133587 
 01/31  19:00:00,21.6625,0.011249864054135097,63.5,92285.125,600.01963401507,950.4,32.26977603099846,0.03436754719124524,100.0,2.9805009518896894,98.98173914577683,40.50122481791561,0.445556640625,2.875988303705145,98.356502928933,-1.0,55.623931728585454,54.29644370838979 
 01/31  20:00:00,20.125,0.011995138798564387,74.125,92325.625,600.01963401507,316.8,31.371190275724466,0.03255543981468341,100.0,2.7496468218625836,97.27854402373895,39.62682836293528,0.47760009765625,2.6431301651971273,95.92805600739537,-1.0,50.88276433470135,51.989299400736236 
 01/31  21:00:00,19.7125,0.012186657133272667,77.25,92354.25,150.0049085037675,316.8,30.907405344758423,0.03165291031762432,100.0,2.627694237264749,95.71698578394235,39.163147908660896,0.4913330078125,2.521121132357387,93.84396168422253,-1.0,48.54635716961462,50.82414014630255 
 01/31  22:00:00,19.662499999999998,0.012773495554641943,81.125,92335.875,150.0049085037675,79.2,30.591607926652333,0.03106529265890506,100.0,2.5415076147992854,94.25342182254093,38.83680060554036,0.50048828125,2.432562564779804,91.90289721994105,-1.0,47.00267510498507,50.040548634896396 
